,DC,base_252,base_360
0,1.0,11.15,0.0
133,3.0,10.99,16.05
1,7.0,10.95,11.19
134,8.0,10.94,11.77
2,9.0,10.94,12.22
135,14.0,10.93,11.16
3,15.0,10.93,11.47
136,16.0,10.92,11.75
4,20.0,10.92,10.1
137,21.0,10.9,10.36
5,30.0,10.82,10.82
138,34.0,10.81,10.43
6,35.0,10.8,10.57
139,36.0,10.8,10.7
7,38.0,10.79,10.96
140,48.0,10.76,10.56
8,49.0,10.76,10.66
141,51.0,10.76,10.53
9,62.0,10.68,10.31
142,64.0,10.66,10.46
10,66.0,10.64,10.59
143,71.0,10.62,10.46
11,80.0,10.58,10.38
144,83.0,10.58,10.17
12,90.0,10.53,10.18
145,92.0,10.52,10.28
13,94.0,10.5,10.37
146,97.0,10.5,10.19
14,100.0,10.48,10.32
147,101.0,10.47,10.36
15,107.0,10.45,10.31
148,108.0,10.44,10.35
16,111.0,10.44,10.2
149,120.0,10.38,10.25
17,125.0,10.35,10.17
150,127.0,10.34,10.23
18,133.0,10.31,10.19
151,140.0,10.28,10.17
19,141.0,10.28,10.2
152,142.0,10.27,10.23
20,150.0,10.23,10.23
153,155.0,10.22,10.17
21,156.0,10.21,10.19
154,157.0,10.2,10.21
22,170.0,10.16,10.16
155,171.0,10.15,10.18
23,174.0,10.15,10.08
156,181.0,10.12,10.06
24,185.0,10.1,10.14
157,188.0,10.09,10.04
25,190.0,10.08,10.08
158,192.0,10.07,10.12
26,202.0,10.05,10.02
159,203.0,10.04,10.03
27,210.0,10.02,10.02
160,212.0,10.02,10.06
28,218.0,10.0,10.03
161,233.0,9.97,10.03
29,234.0,9.97,10.04
162,240.0,9.95,10.02
30,246.0,9.94,9.99
163,251.0,9.94,9.89
31,262.0,9.91,9.89
164,265.0,9.91,9.83
32,272.0,9.89,9.82
165,281.0,9.87,9.83
33,283.0,9.87,9.86
166,290.0,9.85,9.8
34,293.0,9.85,9.74
167,296.0,9.84,9.73
35,300.0,9.84,9.69
168,309.0,9.82,9.71
36,325.0,9.8,9.73
169,328.0,9.8,9.68
37,330.0,9.79,9.7
170,335.0,9.79,9.68
38,337.0,9.78,9.7
171,342.0,9.78,9.67
39,352.0,9.76,9.7
172,353.0,9.76,9.71
40,358.0,9.76,9.61
173,360.0,9.75,9.63
41,370.0,9.75,9.59
174,374.0,9.74,9.63
42,384.0,9.73,9.59
175,385.0,9.73,9.6
43,391.0,9.73,9.59
176,400.0,9.72,9.61
44,413.0,9.71,9.53
177,416.0,9.71,9.53
45,420.0,9.71,9.5
178,429.0,9.7,9.52
46,436.0,9.7,9.53
179,450.0,9.69,9.53
47,463.0,9.68,9.52
180,476.0,9.68,9.49
48,482.0,9.68,9.49
181,490.0,9.68,9.5
49,510.0,9.68,9.51
182,519.0,9.68,9.53
50,521.0,9.68,9.55
183,535.0,9.68,9.56
51,540.0,9.68,9.54
184,552.0,9.68,9.54
52,559.0,9.68,9.54
185,568.0,9.68,9.56
53,570.0,9.68,9.58
186,582.0,9.68,9.57
54,601.0,9.68,9.56
187,615.0,9.68,9.57
55,630.0,9.68,9.56
188,645.0,9.68,9.58
56,646.0,9.68,9.58
189,661.0,9.68,9.55
57,674.0,9.69,9.56
190,692.0,9.7,9.57
58,708.0,9.71,9.56
191,720.0,9.72,9.56
59,750.0,9.74,9.61
192,764.0,9.75,9.6
60,783.0,9.76,9.57
193,794.0,9.77,9.61
61,811.0,9.78,9.6
194,840.0,9.8,9.62
62,841.0,9.8,9.63
195,870.0,9.82,9.67
63,888.0,9.84,9.68
196,902.0,9.85,9.69
64,930.0,9.87,9.71
197,933.0,9.87,9.73
65,960.0,9.89,9.73
198,979.0,9.89,9.72
66,990.0,9.9,9.73
199,1021.0,9.91,9.73
67,1028.0,9.92,9.72
200,1050.0,9.94,9.75
68,1070.0,9.95,9.74
201,1080.0,9.96,9.77
69,1112.0,9.99,9.78
202,1115.0,9.99,9.8
70,1140.0,10.01,9.8
203,1161.0,10.03,9.83
71,1170.0,10.04,9.85
204,1200.0,10.06,9.87
72,1206.0,10.07,9.88
205,1252.0,10.11,9.92
73,1298.0,10.15,9.98
206,1344.0,10.18,9.98
74,1392.0,10.21,10.02
207,1435.0,10.24,10.07
75,1441.0,10.25,10.07
208,1483.0,10.28,10.09
76,1525.0,10.3,10.09
209,1574.0,10.33,10.13
77,1617.0,10.35,10.16
210,1665.0,10.38,10.18
78,1710.0,10.39,10.19
211,1757.0,10.41,10.18
79,1800.0,10.43,10.2
212,1801.0,10.43,10.21
80,1890.0,10.47,10.25
213,1938.0,10.49,10.27
81,1968.0,10.51,10.3
214,1982.0,10.51,10.3
82,2075.0,10.55,10.33
215,2122.0,10.57,10.33
83,2162.0,10.58,10.35
216,2166.0,10.58,10.36
84,2211.0,10.59,10.36
217,2255.0,10.6,10.37
85,2302.0,10.61,10.38
218,2347.0,10.63,10.4
86,2442.0,10.65,10.43
219,2487.0,10.66,10.43
87,2520.0,10.66,10.44
220,2533.0,10.66,10.44
88,2620.0,10.68,10.44
221,2712.0,10.69,10.47
89,2806.0,10.7,10.49
222,2852.0,10.71,10.49
